subject_ID,p_duration,p_country,p_languages,p_age,p_gender,p_race,p_parent,p_inj_experienced,condition,rating,injury,character,race,age,gender,,,,,,,,,
2a,397,Czech Republic ,"Bosnian, Croatian, Spanish and Czech",35,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bee sting,charlotte,w,a,f,,,,,,,,,
3a,391,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,soup,rachel,w,a,f,,,,,,,,,
3a,392,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,sydney,w,c,f,,,,,,,,,
3a,393,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
3a,394,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,kyle,w,c,m,,,,,,,,,
3a,395,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,skinned knees,marissa,b,a,f,,,,,,,,,
3a,396,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,bruised leg,jessica,b,c,f,,,,,,,,,
3a,397,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,4,splinter,chris,b,a,m,,,,,,,,,
3a,398,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,bee sting,tyler,b,c,m,,,,,,,,,
3a,399,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,soup,dominic,b,c,m,,,,,,,,,
3a,400,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,4,broken arm,jacob,b,a,m,,,,,,,,,
3a,401,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,kendall,b,c,f,,,,,,,,,
3a,402,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,paper cut,sarah,b,a,f,,,,,,,,,
3a,403,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,2,skinned knees,wyatt,w,c,m,,,,,,,,,
3a,404,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,bruised leg,robert,w,a,m,,,,,,,,,
3a,405,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,6,splinter,tara,w,c,f,,,,,,,,,
3a,406,Hungary,hungarian,36,male,white,no,"stomach ache,skinned knees,paper cut,broken arm,burned tongue,splinter,bruised leg,bee sting",1,1,bee sting,charlotte,w,a,f,,,,,,,,,
4a,406,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,soup,rachel,w,a,f,,,,,,,,,
4a,407,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,broken arm,sydney,w,c,f,,,,,,,,,
4a,408,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
4a,409,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,paper cut,kyle,w,c,m,,,,,,,,,
4a,410,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,skinned knees,marissa,b,a,f,,,,,,,,,
4a,411,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bruised leg,jessica,b,c,f,,,,,,,,,
4a,412,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,splinter,chris,b,a,m,,,,,,,,,
4a,413,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,bee sting,tyler,b,c,m,,,,,,,,,
4a,414,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,soup,dominic,b,c,m,,,,,,,,,
4a,415,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,broken arm,jacob,b,a,m,,,,,,,,,
4a,416,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,stomach ache,kendall,b,c,f,,,,,,,,,
4a,417,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,paper cut,sarah,b,a,f,,,,,,,,,
4a,418,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,skinned knees,wyatt,w,c,m,,,,,,,,,
4a,419,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,0,bruised leg,robert,w,a,m,,,,,,,,,
4a,420,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,splinter,tara,w,c,f,,,,,,,,,
4a,421,Poland,Polish,21,female,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bee sting,charlotte,w,a,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,soup,rachel,w,a,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,sydney,w,c,f,,,,,,,,,
